Zaman,Musteri_ID,Duygu
00:58:03,1,FEAR
00:58:03,1,SAD
00:58:03,1,NEUTRAL
00:58:03,1,SAD
00:58:03,1,SAD
00:58:03,1,SAD
00:58:03,1,SAD
00:58:03,1,SAD
00:58:03,1,SAD
00:58:04,1,SAD
00:58:04,1,SAD
00:58:04,1,NEUTRAL
00:58:04,1,NEUTRAL
00:58:04,1,NEUTRAL
00:58:04,1,NEUTRAL
00:58:04,1,NEUTRAL
00:58:04,1,SAD
00:58:04,1,FEAR
00:58:04,1,SAD
00:58:05,1,SAD
00:58:05,1,SAD
00:58:05,1,SAD
00:58:05,1,SAD
00:58:05,1,NEUTRAL
00:58:05,1,NEUTRAL
00:58:05,1,NEUTRAL
00:58:05,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,NEUTRAL
00:58:06,1,SAD
00:58:07,1,NEUTRAL
00:58:11,5,NEUTRAL
00:58:11,5,FEAR
00:58:11,5,FEAR
00:58:11,5,NEUTRAL
00:58:11,5,NEUTRAL
00:58:11,5,SAD
00:58:11,6,NEUTRAL
00:58:11,5,NEUTRAL
00:58:11,6,NEUTRAL
00:58:11,5,NEUTRAL
00:58:11,6,NEUTRAL
00:58:12,5,NEUTRAL
00:58:12,6,NEUTRAL
00:58:12,5,NEUTRAL
00:58:12,5,NEUTRAL
00:58:12,6,NEUTRAL
00:58:12,5,ANGRY
00:58:12,6,SAD
00:58:12,5,ANGRY
00:58:12,6,FEAR
00:58:12,5,ANGRY
00:58:12,6,SAD
00:58:12,5,ANGRY
00:58:13,6,SAD
00:58:13,5,ANGRY
00:58:13,6,SAD
00:58:13,5,ANGRY
00:58:13,6,SAD
00:58:13,5,ANGRY
00:58:13,6,SAD
00:58:13,5,ANGRY
00:58:13,6,FEAR
00:58:13,5,ANGRY
00:58:13,6,SAD
00:58:14,5,ANGRY
00:58:14,6,SAD
00:58:14,5,NEUTRAL
00:58:14,6,SAD
00:58:14,5,NEUTRAL
00:58:14,6,SAD
00:58:14,5,NEUTRAL
00:58:14,6,SAD
00:58:14,5,NEUTRAL
00:58:14,6,SAD
00:58:14,5,NEUTRAL
00:58:14,6,SAD
00:58:15,5,NEUTRAL
00:58:15,6,SAD
00:58:15,5,NEUTRAL
00:58:15,6,SAD
00:58:15,5,ANGRY
00:58:15,6,NEUTRAL
00:58:15,5,NEUTRAL
00:58:15,6,SAD
00:58:15,5,NEUTRAL
00:58:16,6,NEUTRAL
00:58:16,5,NEUTRAL
00:58:16,6,SAD
00:58:16,5,SAD
00:58:16,6,ANGRY
00:58:16,5,SAD
00:58:16,6,FEAR
00:58:16,6,NEUTRAL
00:58:21,10,SAD
00:58:21,10,SAD
00:58:21,10,FEAR
00:58:22,10,SAD
00:58:22,10,SAD
00:58:22,10,SAD
00:58:22,11,NEUTRAL
00:58:22,10,SAD
00:58:22,11,NEUTRAL
00:58:22,10,SAD
00:58:22,11,NEUTRAL
00:58:22,10,SAD
00:58:22,11,NEUTRAL
00:58:22,10,SAD
00:58:22,11,SAD
00:58:22,12,SAD
00:58:23,10,SAD
00:58:23,11,ANGRY
00:58:23,12,NEUTRAL
00:58:23,10,SAD
00:58:23,11,SAD
00:58:23,12,ANGRY
00:58:23,10,SAD
00:58:23,10,SAD
00:58:23,11,NEUTRAL
00:58:23,12,NEUTRAL
00:58:23,10,ANGRY
00:58:23,11,HAPPY
00:58:23,12,NEUTRAL
00:58:23,10,FEAR
00:58:24,12,NEUTRAL
00:58:24,10,FEAR
00:58:24,11,ANGRY
00:58:24,12,SAD
00:58:24,10,FEAR
00:58:24,11,NEUTRAL
00:58:24,12,SAD
00:58:24,10,SAD
00:58:24,11,NEUTRAL
00:58:24,12,NEUTRAL
00:58:24,10,SAD
00:58:24,11,NEUTRAL
00:58:24,12,SAD
00:58:25,10,SAD
00:58:25,11,NEUTRAL
00:58:25,12,NEUTRAL
00:58:25,10,FEAR
00:58:25,11,NEUTRAL
00:58:25,12,NEUTRAL
00:58:25,10,FEAR
00:58:25,11,ANGRY
00:58:25,12,SAD
00:58:25,10,ANGRY
00:58:25,11,NEUTRAL
00:58:25,12,SAD
00:58:25,10,FEAR
00:58:26,11,NEUTRAL
00:58:26,12,NEUTRAL
00:58:26,10,FEAR
00:58:26,11,NEUTRAL
00:58:26,12,SAD
00:58:26,10,FEAR
00:58:26,11,NEUTRAL
00:58:26,12,NEUTRAL
00:58:26,10,SAD
00:58:26,11,HAPPY
00:58:26,12,NEUTRAL
00:58:26,10,SAD
00:58:27,11,ANGRY
00:58:27,12,NEUTRAL
00:58:27,10,FEAR
00:58:27,11,HAPPY
00:58:27,10,FEAR
00:58:27,11,ANGRY
00:58:27,10,NEUTRAL
00:58:27,11,NEUTRAL
00:58:32,14,NEUTRAL
00:58:33,14,SAD
00:58:33,14,NEUTRAL
00:58:33,14,SAD
00:58:33,14,SAD
00:58:33,14,SAD
00:58:33,14,SAD
00:58:33,14,SAD
00:58:33,14,SAD
00:58:33,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:34,14,SAD
00:58:35,14,SAD
00:58:35,14,SAD
00:58:35,14,SAD
00:58:35,14,SAD
00:58:35,14,SAD
00:58:35,14,SAD
00:58:35,14,HAPPY
00:58:36,14,SAD
00:58:36,14,SAD
00:58:36,14,FEAR
00:58:36,14,SAD
00:58:36,14,SAD
